Country_code,Country,Job Title,Age,Quantity,Percentage
AT,Austria,Automatic Data Processing Customer Liaison (ADP Customer Liaison),35,1,0.01%
AT,Austria,Automatic Data Processing Customer Liaison (ADP Customer Liaison),44,1,0.01%
AT,Austria,Automatic Data Processing Planner,52,1,0.01%
AT,Austria,Automatic Data Processing Planner,61,1,0.01%
AT,Austria,Automatic Data Processing Systems Security Specialist (ADP Systems Security),31,1,0.01%
AT,Austria,Automatic Data Processing Systems Security Specialist (ADP Systems Security),51,1,0.01%
AT,Austria,Clinical Data Specialist,43,1,0.01%
AT,Austria,Computer or Data Processing Systems Consultant,31,1,0.01%
AT,Austria,Computer or Data Processing Systems Consultant,46,1,0.01%
AT,Austria,Computer or Data Processing Systems Consultant,69,1,0.01%
AT,Austria,Crime Data Specialist,53,1,0.01%
AT,Austria,Data Administrator,40,1,0.01%
AT,Austria,Data Base Design Analyst,33,1,0.01%
AT,Austria,Data Base Design Analyst,45,1,0.01%
AT,Austria,Data Coder Operator,52,1,0.01%
AT,Austria,Data Communications Software Consultant,29,1,0.01%
AT,Austria,Data Communications Software Consultant,50,1,0.01%
AT,Austria,Data Coordinator,49,1,0.01%
AT,Austria,Data Coordinator,50,1,0.01%
AT,Austria,Data Entry Representative,39,1,0.01%
AT,Austria,Data Entry Specialist,30,1,0.01%
AT,Austria,Data Keyer,56,1,0.01%
AT,Austria,Data Management Associate,44,1,0.01%
AT,Austria,Data Management Information Technology Specialist,32,1,0.01%
AT,Austria,Data Officer,25,1,0.01%
AT,Austria,Data Officer,51,1,0.01%
AT,Austria,Data Processing Auditor,19,1,0.01%
AT,Austria,Data Processing Auditor,26,1,0.01%
AT,Austria,Data Processing Auditor,29,1,0.01%
AT,Austria,Data Processing Systems Project Planner,59,1,0.01%
AT,Austria,Data Security Analyst,26,1,0.01%
AT,Austria,Data Security Analyst,52,1,0.01%
AT,Austria,Data Systems Manager,38,1,0.01%
AT,Austria,Data Warehouse Developer,53,1,0.01%
AT,Austria,Data Warehousing Engineer,25,1,0.01%
AT,Austria,Data Warehousing Engineer,28,1,0.01%
AT,Austria,Data Warehousing Engineer,32,1,0.01%
AT,Austria,Data Warehousing Engineer,44,1,0.01%
AT,Austria,Data Warehousing Engineer,48,1,0.01%
AT,Austria,Data Warehousing Manager,32,1,0.01%
AT,Austria,Database Administration Associate,30,1,0.01%
AT,Austria,Database Administration Manager,31,1,0.01%
AT,Austria,Database Architect,51,1,0.01%
AT,Austria,Database Coordinator,55,1,0.01%
AT,Austria,Database Design Analyst,31,1,0.01%
AT,Austria,Database Developer,45,1,0.01%
AT,Austria,Database Development and Administration Project Manager,29,1,0.01%
AT,Austria,Database Engineer,22,1,0.01%
AT,Austria,Database Engineer,42,1,0.01%
AT,Austria,Database Manager,27,1,0.01%
AT,Austria,Database Marketing Analyst,38,1,0.01%
AT,Austria,Database Modeler,33,1,0.01%
AT,Austria,Database Security Administrator,19,1,0.01%
AT,Austria,Database Security Administrator,33,1,0.01%
AT,Austria,Database Security Administrator,66,1,0.01%
AT,Austria,Database Security Expert,54,1,0.01%
AT,Austria,Database Software Technician,27,1,0.01%
AT,Austria,Database Software Technician,57,1,0.01%
AT,Austria,Databases Computer Consultant,34,1,0.01%
AT,Austria,Director of Data Operations,47,1,0.01%
AT,Austria,Electronic Data Processing Auditor (EDP Auditor),33,1,0.01%
AT,Austria,Field Artillery Automated Tactical Data System Specialist,38,1,0.01%
